event,year,level,category,author,title,url,video
2013-06-20,2013,Intermediate,Best Practices/Patterns,Leonardo Rochael,sys._current_frames(): Take real-time x-rays of your software for fun and performance,https://us.pycon.org/2013/schedule/presentation/123/,http://pyvideo.org/video/1757/sys_current_frames-take-real-time-x-rays-of-y-0
2013-06-08,2013,Novice,"Core Python (Language, Stdlib)",Ned Batchelder,"Loop like a native: while, for, iterators, generators",https://us.pycon.org/2013/schedule/presentation/76/,http://pyvideo.org/video/1758/loop-like-a-native-while-for-iterators-genera
2013-06-08,2013,Novice,Other,"Dana Bauer, Idan Gazit","Visualizing Github, Part I: Data to Information",https://us.pycon.org/2013/schedule/presentation/112/,http://pyvideo.org/video/1759/visualizing-github-part-i-data-to-information
2013-06-08,2013,Novice,Best Practices/Patterns,Luciano Ramalho,Encapsulation with descriptors,https://us.pycon.org/2013/schedule/presentation/145/,http://pyvideo.org/video/1760/encapsulation-with-descriptors
2013-06-08,2013,Novice,Science,Erik Evensen,Fighting Cancer with Python,https://us.pycon.org/2013/schedule/presentation/142/,http://pyvideo.org/video/1761/fighting-cancer-with-python
2013-06-20,2013,Intermediate,Concurrency,Dino Viehland,Using futures for async GUI programming in Python 3.3,https://us.pycon.org/2013/schedule/presentation/62/,http://pyvideo.org/video/1762/using-futures-for-async-gui-programming-in-python
2013-06-20,2013,Intermediate,Databases/NoSQL,Mike Bayer,The SQLAlchemy Session - In Depth,https://us.pycon.org/2013/schedule/presentation/88/,http://pyvideo.org/video/1767/the-sqlalchemy-session-in-depth-0
2013-06-20,2013,Intermediate,Useful Libraries,Amjith Ramanujam,Python Profiling,https://us.pycon.org/2013/schedule/presentation/86/,http://pyvideo.org/video/1770/python-profiling
2013-06-08,2013,Novice,Other,"Idan Gazit, Dana Bauer","Visualizing Github, Part II: Information to Meaning",https://us.pycon.org/2013/schedule/presentation/108/,http://pyvideo.org/video/1766/visualizing-github-part-ii-information-to-meani
2013-06-08,2013,Novice,Other,James Tauber,Music Theory and Performance Analysis with Sebastian and Czerny,https://us.pycon.org/2013/schedule/presentation/136/,http://pyvideo.org/video/1769/music-theory-and-performance-analysis-with-sebast
